,apparent_magnitude,bayer_designation,distance,mass,name,radius,spectral_class
217,,,19.2,,WISE 0359-5401,,
218,,,20.0,0.00572748,WISE 0410+1502,0.12023270999999998,
219,,,35.9,0.0143187,WISE 0458+6434,0.4316046,
220,,,35.9,0.0095458,WISE 0458+6434,0.39049939999999994,
221,,,47.0,,WISE 0535-7500,,
222,,,25.4,,WISE 0607+2429,,
223,,,28.0,,WISE 0647-6232,,
224,,,23.2,,WISE 0713-2917,,
225,,,34.9,,WISE 0734-7157,,
226,,,51.5,,WISE 0750+2725,,
227,,,102.0,,WISE 1147-2040,,
228,,,34.2,0.01145496,WISE 1217+1626,,
229,,,34.2,0.00572748,WISE 1217+1626,,
230,,,33.9,,WISE 1322-2340,,
231,,,25.3,0.0286374,WISE 1405+5534,0.08837618,
232,,,11.1,,WISE 1506+7027,,
233,,,20.0,,WISE 1541-2250,,
234,,,32.6,,WISE 1614+1739,,
235,,,50.2,,WISE 1617+1807,,
236,,,52.2,,WISE 1622-0959,,
237,,,50.2,,WISE 1627+3255,,
238,,,16.3,,WISE 1639-6847,,
239,,,28.0,,WISE 1647+5632,,
240,,,39.5,,WISE 1653+4444,,
241,,,20.0,,WISE 1738+2732,,
242,,,18.9,,WISE 1741+2553,,
243,,,28.7,0.05441106,WISE 1800+0134,,
244,,,47.0,,WISE 1812+2721,,
245,,,36.0,,WISE 1828+2650,,
246,,,131.1,,WISE 1841+7000,,
247,,,44.4,,WISE 1952+7240,,
248,,,34.2,,WISE 2030+0749,,
249,,,50.6,,WISE 2015+6646,,
250,,,47.9,,WISE 2018-7423,,
251,,,24.5,,WISE 2056+1459,,
252,,,26.4,,WISE 2220-3628,,
253,,,35.9,,WISE 2313-8037,,
254,,,42.7,,WISE 2359-7335,,
255,,,111.0,,WISEA 1101+5400,,
256,,,120.0,0.0381832,2M1510,,
